NUM_BODIES 
9

NUM_STEPS
365

NAMES
Sun
Mercury
Venus
Earth
Mars
Jupiter
Saturn
Uranus
Neptune

MASSES
1.989e+30
3.3011e+23
4.8675e+24
5.972e+24
6.4171e+23
1.89819e+27
5.6834e+26
8.6813e+25
1.02413e+26
 
RADII
695700000.0
2439700
6051800
6371000.0
3389500
71492000
54364000
24973000
24341000

TRAJECTORIES
26, 0, 0, 38219281288.19668, -50290005402.99086, -79748342353.15585, -72274626356.49469, -131876792621.89478, -65703569317.85906, -198826904032.75858, -58780314174.239914, -739909063420.9316, -30812131900.321365, -1352366721965.332, -22867319064.18045, -2741255370805.027, -15971817324.117054, -4444433021716.67, -12355184267.259468
27, 0, 0, 41512970990.3854, -48494602146.5117, -77681814470.02104, -74507061353.02914, -130707306857.03429, -68040778465.445045, -198221194281.3022, -60980542407.46204, -739861172708.6385, -31996523879.58486, -1352352352941.1118, -23746747238.30873, -2741251871782.056, -16586110933.482998, -4444431690580.017, -12830382381.228855
28, 0, 0, 44648386790.220276, -46514195962.08165, -75553479486.69576, -76680215396.26747, -129497287537.47537, -70356887592.0149, -197593433818.89005, -63173987021.2382, -739811476054.2341, -33180837757.890347, -1352337441752.2085, -24626165892.24982, -2741248240722.258, -17200403743.9521, -4444430309211.9375, -13305580350.187933
29, 0, 0, 47618574667.79702, -44361563313.5306, -73365049598.92612, -78792378516.59283, -128247125682.6155, -72651187027.0705, -196943710748.24915, -65360409852.52662, -739759973597.0798, -34365070645.232086, -1352321988405.5823, -25505574673.458363, -2741244477625.829, -17814695725.93609, -4444428877612.447, -13780778168.765968
30, 0, 0, 50417405083.85042, -42049213612.186935, -71118284234.83357, -80841890867.7741, -126957224965.5937, -74922974711.57126, -196272116110.9497, -67539574128.07863, -739706665481.5981, -35549219651.89032, -1352305992908.4465, -26384973229.394913, -2741240582492.974, -18428986849.84676, -4444427395781.563, -14255975831.592228
31, 0, 0, 53039486249.29687, -39589382551.95679, -68814988549.59824, -82827144026.03506, -125628001552.21083, -77171556430.98593, -195578743860.13547, -69711244507.56282, -739651551857.2719, -36733281888.44143, -1352289455268.2678, -27264361207.52615, -2741236555323.905, -19043277086.09596, -4444425863719.304, -14731173333.295979
32, 0, 0, 55480086557.77783, -36994032765.05834, -66457011884.82808, -84746582241.80695, -124259883935.3194, -79396246044.49075, -194863690832.48593, -71875187126.0418, -739594632878.6436, -37917254465.76814, -1352272375492.7656, -28143738255.325077, -2741232396118.84, -19657566405.09559, -4444424281425.686, -15206370668.506495
33, 0, 0, 57735065593.96222, -34274860253.612766, -64046246194.21542, -86598703643.23509, -122853312764.79059, -81596365710.21869, -194127056719.42877, -74031169635.78523, -739535908705.3146, -39101134495.069725, -1352254753589.9124, -29023104020.271248, -2741228104878.0054, -20271854777.257614, -4444422648900.728, -15681567831.853046
34, 0, 0, 59800813099.072395, -31443305341.74044, -61584624437.104645, -88382061390.5719, -121408740673.16722, -83771246106.46811, -193368944037.62064, -76178961247.40404, -739475379501.9445, -40284919087.87216, -1352236589567.9336, -29902458149.85096, -2741223681601.6343, -20886142172.99407, -4444420966144.449, -16156764817.964909
35, 0, 0, 61674195277.09029, -28510567135.7483, -59074118941.61415, -90095264780.6478, -119926632097.11418, -85920226648.7827, -192589458098.71527, -78318332770.29039, -739413045438.2501, -41468605356.03834, -1352217883435.3076, -30781800291.557484, -2741219126289.967, -21500428562.717045, -4444419233156.869, -16631961621.471361
